artist,age,abstractLength,influencedCount,artsCount
http://dbpedia.org/resource/Richard_Henry_Park,,,0,1
http://dbpedia.org/resource/Benjamin_West,82,387,0,3
http://dbpedia.org/resource/Gustave_Courbet,58,732,6,6
http://dbpedia.org/resource/Robert_Delaunay,56,380,0,1
http://dbpedia.org/resource/Paul_Van_Hoeydonck,,,0,1
http://dbpedia.org/resource/Robert_Engman,,,0,1
http://dbpedia.org/resource/Ivan_Kramskoi,,,0,2
http://dbpedia.org/resource/Paul_Philippoteaux,,,0,1
http://dbpedia.org/resource/Giorgio_de_Chirico,90,405,9,9
http://dbpedia.org/resource/Jean-Baptiste-Sim%C3%A9on_Chardin,80,347,0,1
http://dbpedia.org/resource/Marshall_Fredericks,90,88,0,1
http://dbpedia.org/resource/Robert_Stackhouse,,,0,1
http://dbpedia.org/resource/Edward_Burne-Jones,65,1441,0,4
http://dbpedia.org/resource/Joachim_Patinir,,,0,1
http://dbpedia.org/resource/Robert_Indiana,,,0,1
http://dbpedia.org/resource/Thomas_Eakins,72,2048,0,10
http://dbpedia.org/resource/William_Hogarth,67,454,0,14
http://dbpedia.org/resource/Jan_van_Eyck,,,6,6
http://dbpedia.org/resource/George_Grosz,66,295,0,1
http://dbpedia.org/resource/Pietro_Lorenzetti,,,0,1
http://dbpedia.org/resource/Alexander_Stirling_Calder,75,430,0,1
http://dbpedia.org/resource/Edgar_Degas,83,944,0,6
http://dbpedia.org/resource/J._M._W._Turner,76,560,0,3
http://dbpedia.org/resource/Frans_Hals,,,1,1
http://dbpedia.org/resource/James_Abbott_McNeill_Whistler,69,932,0,2
http://dbpedia.org/resource/Elizabeth_Catlett,,,0,1
http://dbpedia.org/resource/Norman_Rockwell,84,699,0,4
http://dbpedia.org/resource/Hugo_Rheinhold,47,181,0,1
http://dbpedia.org/resource/Barnett_Newman,65,190,1,1
http://dbpedia.org/resource/Frank_Stella,,,0,3
http://dbpedia.org/resource/Donald_De_Lue,91,166,0,1
http://dbpedia.org/resource/El_Greco,,,0,1
http://dbpedia.org/resource/Heinz_Mack,,,0,1
http://dbpedia.org/resource/Alexander_Doyle,,,0,1
http://dbpedia.org/resource/Mark_di_Suvero,,,0,1
http://dbpedia.org/resource/Robert_Berks,89,624,0,1
http://dbpedia.org/resource/George_Stubbs,82,109,0,1
